Type,Option_expiry,Strike,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y,50Y
SLN_vol,1D,-1.4,57.42436333,57.10385173,57.33281396,61.21469158,66.37610522,69.7477327,76.60438409,79.79132944,83.25870113,83.29847123,82.86251252,82.76262661,82.11883456,82.09968876
SLN_vol,1D,-1.3,53.49578294,53.2342682,53.49660099,57.23746982,62.23887572,65.48550405,72.00039581,75.03300563,78.33629146,78.42777861,78.0478535,77.96607739,77.36590277,77.33957454
SLN_vol,1D,-1.2,50.0380749,49.82827816,50.11987089,53.73731262,58.59974654,61.73734398,67.95211946,70.84870875,74.00717622,74.14391778,73.81336288,73.74764378,73.18606057,73.15348698
SLN_vol,1D,-1.1,46.9450576,46.78147975,47.09927668,50.60696543,55.34667454,58.38760402,64.33460026,67.10946153,70.13818469,70.31527247,70.0289461,69.97768794,69.45077041,69.41265661
SLN_vol,1D,-1,44.14281031,44.02117509,44.36284261,47.77174802,52.40169644,55.35583416,61.06091784,63.72553038,66.63664265,66.85023638,66.6040554,66.56598299,66.07057835,66.02747148
SLN_vol,1D,-0.9,41.57771526,41.49462513,41.85834764,45.17749068,49.70829704,52.58373195,58.06808417,60.63187939,63.43536887,63.68239423,63.47304289,63.44711567,62.98063604,62.93297078
SLN_vol,1D,-0.8,39.2095854,39.16229765,39.54664592,42.78359897,47.22415196,50.02764652,55.30894402,57.77981443,60.48405389,60.76200529,60.5867429,60.57209749,60.13238112,60.08050919
SLN_vol,1D,-0.7,37.007479,36.99375426,37.39759719,40.5588291,44.9167095,47.65401611,52.74724526,55.13189645,57.74401074,58.05081703,57.90734569,57.90325615,57.48847126,57.43268142
SLN_vol,1D,-0.6,34.94702846,34.96502493,35.38746865,38.47859138,42.76037212,45.43645813,50.35449471,52.65869685,55.18482583,55.51875584,55.40512656,55.41097598,55.01955189,54.96008393
SLN_vol,1D,-0.5,33.00866815,33.05686592,33.49721098,36.52316144,40.7346279,43.3538404,48.1078743,50.33664666,52.78213848,53.14173259,53.05627676,53.07153647,52.70211306,52.63916788
SLN_vol,1D,-0.4,31.17641978,31.25356565,31.7112765,34.67645447,38.82277092,41.38896072,45.9888144,48.14656393,50.51612022,50.90013971,50.84141801,50.86563201,50.51702178,50.45076881
SLN_vol,1D,-0.3,29.43703591,29.54210277,30.01678604,32.92516158,37.01100059,39.52761769,43.98199009,46.07261731,48.37040452,48.77779323,48.74455674,48.77732986,48.44848886,48.37907167
SLN_vol,1D,-0.2,27.77938117,27.91153782,28.40292711,31.25812659,35.28777245,37.75794118,42.07459787,44.1015793,46.33131523,46.76117007,46.75233025,46.79331898,46.48332426,46.41086492
SLN_vol,1D,-0.1,26.19397508,26.35256391,26.86050953,29.66588649,33.6433204,36.06989995,40.25582385,42.22227689,44.38729899,44.8388468,44.85345198,44.90235733,44.61038919,44.53499158
SLN_vol,1D,0,24.67264746,24.85716809,25.38163086,28.14032626,32.06929876,34.45493301,38.51644564,40.42518016,42.5284999,43.00107908,43.03829577,43.09485763,42.82018555,42.74193808
SLN_vol,1D,0.1,23.20827384,23.41837136,23.9594197,26.67441501,30.55850985,32.90566932,36.84852964,38.70208939,40.74643581,41.23948142,41.29857942,41.36257211,41.10454342,41.02352121
SLN_vol,1D,0.2,21.79456872,22.03002539,22.5878353,25.26200123,29.10469394,31.41571197,35.24519803,37.04589376,39.03374853,39.54677994,39.62712025,39.69834899,39.4563798,39.3726465
SLN_vol,1D,0.3,20.42592153,20.68665093,21.26150848,23.89765152,27.70236541,29.97947025,33.70044732,35.45038326,37.38400864,37.91661905,38.01764408,38.0959422,37.86951008,37.78311941
SLN_vol,1D,0.4,19.09726516,19.3833072,19.97561308,22.57652219,26.34668431,28.5920282,32.20900622,33.9101008,35.79156163,36.34340882,36.46463427,36.54986102,36.33849916,36.24949633
SLN_vol,1D,0.5,17.80397057,18.11548538,18.72576074,21.29425608,25.03335532,27.24904161,30.76622394,32.4202253,34.25140562,34.82220331,34.96321149,35.05525034,34.85854293,34.76696589
SLN_vol,1D,0.6,16.54176548,16.87902176,17.50791383,20.04689948,23.75854933,25.94665815,29.36798292,30.97647936,32.75909388,33.34860318,33.50903727,33.60779465,33.42537328,33.33125407
SLN_vol,1D,0.7,15.3066803,15.6700299,16.31831388,18.83083628,22.51884434,24.68145727,28.01063203,29.57505712,31.31065736,31.91867751,32.09823653,32.20364088,32.035182,31.9385481
SLN_vol,1D,0.8,14.09503556,14.48485633,15.15342593,17.64273879,21.31118495,23.45040825,26.69093787,28.21256943,29.90254379,30.5289014,30.72733553,30.83933667,30.68455981,30.58543577
SLN_vol,1D,0.9,12.90350799,13.32007523,14.00990411,16.47953769,20.13286177,22.25084708,25.40605388,26.88600504,28.53157152,29.17610691,29.39321285,29.5117815,29.37044846,29.26885786
SLN_vol,1D,1,11.72937035,12.17256242,12.88459488,15.33841944,18.98151564,21.08047499,24.15350826,25.59270805,27.19489717,27.85744626,28.09306187,28.21818932,28.09010425,27.98607226
SLN_vol,1D,1.1,10.57115248,11.03975249,11.77461958,14.21687029,17.85517685,19.93738541,22.93121497,24.33037368,25.88999785,26.57036661,26.82436435,26.9560621,26.84107253,26.73462939
SLN_vol,1D,1.2,9.430417677,9.920357386,10.67764277,13.11280963,16.75235926,18.82013178,21.73751515,23.09706712,24.61467015,25.31259763,25.58487547,25.72317459,25.62117359,25.51235942
SLN_vol,1D,1.3,8.31676641,8.816351294,9.592613459,12.02491003,15.67224723,17.72785899,20.57126287,21.89127415,23.36705086,24.08215403,24.37262205,24.51757199,24.42850156,24.31737333
SLN_vol,1D,1.4,7.2629318,7.738771377,8.52181228,10.95333436,14.61504746,16.66053901,19.43197865,20.71199899,22.14566822,22.87735792,23.1859177,23.33758378,23.26143984,23.14808153
SLN_vol,1D,1.5,6.369810439,6.725962311,7.476859982,9.90146856,13.58264752,15.61938359,18.32011151,19.5589357,20.94953913,21.69688924,22.02340105,22.18185973,22.11869888,22.00323661
SLN_vol,1D,1.6,5.880219249,5.898862082,6.497690922,8.880184344,12.57986089,14.60756574,17.23747954,18.43275878,19.77833887,20.53987874,20.88410821,21.0494381,20.99938655,20.88201162
SLN_vol,1D,1.7,5.994355606,5.530222711,5.709432416,7.918752291,11.61680635,13.63148353,16.188008,17.33561157,18.63268962,19.40606797,19.76759792,19.93986314,19.90312804,19.78413251
SLN_vol,1D,1.8,6.514144853,5.759895014,5.384103049,7.091399768,10.71339935,12.7029532,15.1789609,16.27192682,17.51464817,18.29607899,18.6741608,18.85338049,18.83026358,18.71009601
SLN_vol,1D,1.9,7.183293254,6.327229633,5.636351999,6.55524394,9.907082644,11.84282935,14.22295233,15.2498,16.42853283,17.21186719,17.60516657,17.79125897,17.78217121,17.66152568
SLN_vol,1D,2,7.888809051,7.003607422,6.201559989,6.477761089,9.261875414,11.08605436,13.34101042,14.28323254,15.38232498,16.15748472,16.56364083,16.75632077,16.76179356,16.64175292
SLN_vol,1D,2.1,8.590758545,7.700454438,6.865714446,6.805028358,8.86285198,10.48514807,12.56636613,13.3955158,14.39000039,15.14036782,15.55522495,15.75381551,15.77449666,15.65676346
SLN_vol,1D,2.2,9.275132096,8.387753633,7.547456292,7.341916837,8.767559576,10.10167188,11.94622661,12.62322892,13.47514692,14.1734711,14.58975855,14.7928485,14.82945271,14.71671355
SLN_vol,1D,2.3,9.937280116,9.055362933,8.219227093,7.958433636,8.948620442,9.974632086,11.53400883,12.01734749,12.67548091,13.27858473,13.68378321,13.88862738,13.94177181,13.83823243
SLN_vol,1D,2.4,10.57616479,9.700238865,8.871717809,8.596508466,9.318665096,10.08817359,11.36531361,11.63276332,12.0447456,12.49055872,12.8640406,13.06561921,13.1354061,13.04742653
SLN_vol,1D,2.5,11.19220039,10.3220475,9.502163551,9.231985018,9.795168583,10.38242603,11.432406,11.50086829,11.64237424,11.85949782,12.1707036,12.36065302,12.44581243,12.38218582
SLN_vol,1D,2.6,11.7863769,10.92151695,10.11030531,9.854794082,10.32444106,10.79183538,11.68772073,11.60568394,11.50374549,11.44246904,11.65535609,11.82194252,11.91859029,11.88928093
SLN_vol,1D,2.7,12.35988365,11.49977081,10.6968672,10.46086476,10.87602882,11.26706938,12.07202916,11.89363545,11.61288311,11.27703533,11.36518289,11.49643893,11.59745495,11.609716
SLN_vol,1D,2.8,12.91394291,12.05804478,11.26293818,11.04880553,11.43330618,11.77652325,12.53597138,12.30412531,11.91267295,11.35370641,11.31537248,11.40488003,11.50157268,11.5555956
SLN_vol,1D,2.9,13.44973646,12.59756399,11.80970854,11.61846563,11.98724023,12.30116031,13.04529482,12.78894531,12.33873264,11.62130716,11.47647853,11.52600615,11.61139416,11.70037463
SLN_vol,1D,3,13.96837527,13.1194915,12.33835581,12.17027485,12.5329365,12.82971829,13.57806511,13.31542685,12.84047367,12.01808301,11.79337224,11.80974758,11.88026801,11.99473721
SLN_vol,1D,3.1,14.47088948,13.62490914,12.84999688,12.70492603,13.06779378,13.35555474,14.12065292,13.86288942,13.38407182,12.4937695,12.21202346,12.20285919,12.25769734,12.38926201
SLN_vol,1D,3.2,14.95822803,14.1148135,13.34567033,13.22321712,13.59050941,13.87476554,14.6646611,14.41855153,13.94836782,13.01407225,12.69182927,12.66342878,12.70318275,12.84572849
SLN_vol,1D,3.3,15.43126259,14.59011873,13.82633291,13.72597127,14.1005301,14.38508861,15.20492835,14.97455959,14.52041417,13.55727544,13.20576227,13.16278014,13.18854654,13.33798783
SLN_vol,1D,3.4,15.89079333,15.05166219,14.29286236,14.21399643,14.59774033,14.88526181,15.73829944,15.52609638,15.09232318,14.10998044,13.73670324,13.68244347,13.69538322,13.84907632
SLN_vol,1D,3.5,16.33755523,15.50021112,14.74606288,14.68806567,15.08228102,15.37464075,16.26287602,16.07022547,15.65929489,14.66396686,14.2739808,14.21077613,14.21195268,14.36819705
SLN_vol,1D,3.6,16.77222419,15.93646935,15.18667156,15.14890849,15.55444154,15.85296682,16.77755725,16.6051893,16.21842713,15.21419347,14.81096139,14.74047562,14.73081334,14.88850942
SLN_vol,1D,3.7,17.19542289,16.36108364,15.61536478,15.59720801,16.01459435,16.32022367,17.28175418,17.1299789,16.76799961,15.75758103,15.34352466,15.2669646,15.24725273,15.40568318
SLN_vol,1D,3.8,17.60772597,16.77464947,16.03276431,16.03360126,16.46315477,16.77654671,17.77520932,17.64406617,17.3070383,16.29227615,15.86912628,15.78738425,15.7582948,15.91698756
SLN_vol,1D,3.9,18.00966484,17.17771625,16.4394428,16.45868116,16.90055618,17.22216522,18.25788073,18.14723451,17.83504608,16.81720212,16.3862224,16.29997133,16.26207886,16.42072144
SLN_vol,1D,4,18.40173189,17.57079197,16.83592885,16.87299911,17.32723462,17.65736488,18.72986652,18.63946981,18.35183311,17.33178041,16.89391266,16.8036698,16.75746921,16.91585443
SLN_vol,1D,4.1,18.78438422,17.95434734,17.22271135,17.27706805,17.74361937,18.08246318,19.19135488,19.12088937,18.85740824,17.83575515,17.39171519,17.29788542,17.2438067,17.40179782
SLN_vol,1D,4.2,19.15804704,18.32881936,17.6002435,17.67136541,18.15012728,18.49779331,19.64259078,19.59169479,19.35190843,18.32908042,17.87942258,17.78232829,17.72074835,17.87825635
SLN_vol,1D,4.3,19.52311658,18.6946146,17.96894621,18.056336,18.54715957,18.90369354,20.08385349,20.0521405,19.83555215,18.8118469,18.35700814,18.25691017,18.18816224,18.34513077
SLN_vol,1D,4.4,19.87996277,19.05211203,18.32921124,18.43239475,18.93510009,19.30050021,20.51544133,20.50251255,20.30860844,19.28423342,18.824564,18.72167657,18.6460577,18.80245296
SLN_vol,1D,4.5,20.22893154,19.40166553,18.68140387,18.79992921,19.31431466,19.68854327,20.93766139,20.94311421,20.77137601,19.74647448,19.28225978,19.17676123,19.09453821,19.25034205
SLN_vol,1D,4.6,20.57034692,19.74360612,19.02586536,19.15930183,19.68515104,20.06814341,21.35082243,21.37425619,21.22416923,20.1988385,19.73031457,19.62235532,19.53376945,19.68897458
SLN_vol,1D,4.7,20.90451291,20.07824398,19.36291502,19.51085209,20.04793927,20.43961033,21.75523021,21.79625,21.66730862,20.64161291,20.16897791,20.05868634,19.96395723,20.11856394
SLN_vol,1D,4.8,21.23171514,20.40587019,19.69285218,19.85489836,20.40299225,20.80324179,22.15118431,22.20940353,22.10111438,21.07509415,20.59851668,20.48600358,20.38533227,20.53934608
SLN_vol,1D,4.9,21.55222236,20.72675835,20.01595787,20.19173963,20.75060654,21.15932317,22.53897611,22.61401805,22.52590221,21.49958075,21.01920616,20.90456812,20.79813961,20.95156959
SLN_vol,1D,5,21.86628778,21.04116598,20.33249629,20.52165707,21.09106309,21.50812742,22.91888754,23.01038634,22.94198038,21.91536871,21.43132386,21.31464589,21.2026312,21.35548884
SLN_vol,1D,5.1,22.1741503,21.3493358,20.64271625,20.84491544,21.42462817,21.84991519,23.29119031,23.3987915,23.34964806,22.32274844,21.83514528,21.71650285,21.59906079,21.7513591
SLN_vol,1D,5.2,22.47603556,21.65149689,20.94685231,21.16176434,21.75155414,22.18493511,23.65614558,23.77950628,23.74919414,22.72200269,22.23094108,22.11040172,21.98768034,22.13943325
SLN_vol,1D,5.3,22.77215696,21.94786569,21.24512595,21.47243939,22.07208032,22.5134243,24.01400394,24.15279282,24.14089673,23.11340533,22.61897519,22.49659981,22.36873758,22.51995955
SLN_vol,1D,5.4,23.06271653,22.238647,21.53774652,21.77716326,22.38643376,22.83560871,24.3650054,24.51890255,24.52502287,23.49722059,22.99950363,22.8753475,22.74247438,22.89318003
SLN_vol,1D,5.5,23.34790578,22.52403476,21.82491213,22.07614662,22.69482997,23.15170372,24.70937972,24.87807638,24.90182857,23.87370271,23.37277376,23.24688737,23.10912569,23.2593296
SLN_vol,1D,5.6,23.62790639,22.80421288,22.10681049,22.369589,22.99747368,23.46191461,25.04734666,25.23054486,25.27155898,24.24309581,23.73902391,23.61145365,23.46891886,23.61863541
SLN_vol,1D,5.7,23.90289092,23.0793559,22.38361967,22.65767961,23.29455949,23.76643707,25.37911632,25.57652858,25.63444864,24.60563399,24.09848327,23.96927197,23.82207329,23.97131657
SLN_vol,1D,5.8,24.1730234,23.34962966,22.65550869,22.94059799,23.58627245,24.06545771,25.7048896,25.91623847,25.99072185,24.96154152,24.45137187,24.32055928,24.16880028,24.31758397
SLN_vol,1D,5.9,24.43845992,23.61519186,22.92263821,23.21851475,23.87278873,24.35915452,26.02485854,26.24987622,26.34059306,25.3110331,24.79790078,24.66552394,24.50930303,24.65764041
SLN_vol,1D,6,24.69934913,23.87619263,23.18516108,23.49159211,24.15427609,24.64769739,26.33920673,26.5776347,26.68426729,25.65431422,25.13827229,25.00436587,24.84377673,24.99168061
SLN_vol,1D,6.1,24.95583271,24.13277497,23.44322282,23.75998446,24.43089444,24.93124849,26.64810977,26.89969833,27.02194054,25.99158149,25.47268023,25.33727678,25.17240876,25.31989148
SLN_vol,1D,6.2,25.20804582,24.38507524,23.69696211,24.02383888,24.70279627,25.20996275,26.95173557,27.21624352,27.35380023,26.32302301,25.80131026,25.66444045,25.4953789,25.64245232
SLN_vol,1D,6.3,25.4561175,24.63322358,23.94651122,24.28329559,24.97012714,25.48398821,27.25024485,27.52743905,27.6800256,26.64881882,26.12434018,25.98603303,25.81285959,25.95953509
SLN_vol,1D,6.4,25.70017102,24.87734424,24.19199644,24.53848841,25.23302605,25.75346644,27.54379139,27.83344644,28.00078815,26.96914118,26.44194031,26.3022233,26.1250162,26.27130472
SLN_vol,1D,6.5,25.94032426,25.11755601,24.43353837,24.78954509,25.49162582,26.01853286,27.83252246,28.13442035,28.31625199,27.28415501,26.75427381,26.61317307,26.43200735,26.57791934
SLN_vol,1D,6.6,26.17668997,25.35397248,24.67125233,25.03658774,25.7460535,26.2793171,28.11657914,28.43050889,28.62657426,27.59401826,27.061497,26.91903741,26.73398513,26.87953064
SLN_vol,1D,6.7,26.40937615,25.58670237,24.90524865,25.27973312,25.99643064,26.5359433,28.39609662,28.72185398,28.93190544,27.8988822,27.36375969,27.21996501,27.03109548,27.1762841
SLN_vol,1D,6.8,26.63848622,25.81584981,25.13563296,25.51909298,26.2428736,26.78853041,28.67120452,29.00859166,29.23238976,28.1988918,27.66120552,27.51609846,27.32347839,27.46831932
SLN_vol,1D,6.9,26.86411936,26.04151459,25.36250643,25.75477433,26.48549389,27.03719247,28.94202716,29.29085241,29.52816546,28.49418605,27.95397221,27.80757457,27.61126823,27.75577028
SLN_vol,1D,7,27.0863707,26.2637924,25.58596606,25.98687972,26.72439839,27.28203886,29.20868384,29.5687614,29.81936512,28.78489822,28.24219192,28.09452459,27.89459397,28.03876559
SLN_vol,1W,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLN_vol,1W,-1.9,98.09964489,97.10997094,96.95173819,102.3275172,109.2787425,114.0110306,124.4614924,129.2246456,134.3509607,133.8145375,132.7917172,132.5113897,131.4304093,131.4953866
SLN_vol,1W,-1.8,83.57833809,82.85143084,82.84703479,87.67869904,93.94890022,98.17850736,107.3458113,111.5603753,116.1162909,115.7946959,114.9801083,114.7608663,113.8287052,113.8609094
SLN_vol,1W,-1.7,74.37019676,73.8001839,73.88575144,78.37771584,84.23825008,88.15926051,96.51579295,100.3758047,104.5592472,104.3671305,103.6843485,103.5053476,102.6710667,102.6841566
SLN_vol,1W,-1.6,67.53825228,67.08088871,67.23025427,71.47221295,77.03756619,80.73369462,88.48987631,92.08412276,95.98685005,95.88804743,95.30294743,95.15440437,94.39415981,94.39374502
SLN_vol,1W,-1.5,62.07487097,61.70577307,61.90474369,65.94796326,71.28207845,74.80067661,82.07760662,85.45797198,89.13399717,89.10841029,88.60139201,88.47753504,87.77724333,87.76637915
SLN_vol,1W,-1.4,57.50655344,57.21031051,57.45004309,61.32795543,66.47186935,69.84358336,76.72050427,79.92129787,83.40651711,83.4413611,82.9996438,82.89664214,82.24693292,82.22753345
SLN_vol,1W,-1.3,53.57103318,53.3370639,53.61156981,57.34780904,62.33018913,65.57655459,72.10956373,75.15526591,78.47538864,78.56183412,78.17641046,78.09152933,77.48569185,77.45906266
SLN_vol,1W,-1.2,50.10719114,49.92781617,50.23281015,53.84502949,58.68709335,61.8241156,68.05510906,70.96411689,74.1385223,74.27012413,73.93430258,73.86549012,73.29847056,73.2655546
SLN_vol,1W,-1.1,47.00866526,46.87808817,47.2103843,50.71231107,55.43044018,58.47051044,64.43202037,67.21869137,70.26254168,70.43440414,70.1430206,70.08868086,69.55653137,69.51803822
SLN_vol,1W,-1,44.2014084,44.11512633,44.47229124,47.87493547,52.48219571,55.4352123,61.15326027,63.82912658,66.7546267,66.96291865,66.71187167,66.67072915,66.17027886,66.1267591
SLN_vol,1W,-0.9,41.63171059,41.58615017,41.96629028,45.27870392,49.78579228,52.65986176,58.15575462,60.73029153,63.54748868,63.78914265,63.57510123,63.54611479,63.07476074,63.02665176
SLN_vol,1W,-0.8,39.25931531,39.2515959,39.65322021,42.88299945,47.29886547,50.10076452,55.39228287,57.87341988,60.59073663,60.86325221,60.68346273,60.66576826,60.22133592,60.16899164
SLN_vol,1W,-0.7,37.053227,37.08100066,37.50292874,40.65656051,44.98883229,47.72432481,52.82654203,55.22101639,57.84562008,58.1469301,57.99908359,57.99195429,57.5726009,57.51631187
SLN_vol,1W,-0.6,34.98903536,35.05037511,35.49167367,38.57478328,42.83007024,45.50413293,50.42999854,52.7436078,55.28167503,55.61005133,55.49218919,55.49500726,55.09915259,55.03916007
SLN_vol,1W,-0.5,33.04714024,33.14046024,33.60039839,36.61793207,40.80204714,43.4190347,48.17980161,50.41758902,52.87449994,53.22848524,53.13893043,53.15116626,52.77744183,52.71394792
SLN_vol,1W,-0.4,31.21153481,31.33553228,31.81354974,34.76991296,38.88804042,41.45180976,46.05735475,48.22374833,50.60423283,50.98259015,50.91989591,50.94109256,50.58830342,50.52147856
SLN_vol,1W,-0.3,29.46894771,29.62256019,30.1182446,33.01740983,37.07423561,39.58824151,44.04731057,46.14622963,48.45447918,48.85615368,48.81906448,48.84882579,48.51592136,48.44590998
SLN_vol,1W,-0.2,27.8082231,27.99059687,28.5036679,31.34926071,35.3490765,37.81644698,42.13684663,44.17178447,46.41153925,46.83562878,46.82305017,46.86103168,46.54708306,46.47400788
SLN_vol,1W,-0.1,26.21986272,26.43032954,26.96062814,29.7559981,33.70278698,36.12638389,40.31513282,42.28922194,44.46383952,44.90957159,44.9205466,44.96644833,44.67063044,44.59459593
SLN_vol,1W,0,24.69568064,24.93374087,25.48122276,28.22950361,32.1270127,34.50948165,38.57293267,40.48899665,42.60150671,43.06822014,43.10191051,43.15547139,42.87704883,42.79814384
SLN_vol,1W,0.1,23.22853819,23.49384885,24.05858141,26.76274393,30.61454841,32.95836076,36.9023003,38.76289534,40.81604348,41.3031736,41.35884482,41.41983822,41.15815387,41.07645387
SLN_vol,1W,0.2,21.81213676,22.10450335,22.68666556,25.34956596,29.15912758,31.46661675,35.29634694,37.10379522,39.10007827,39.6071446,39.68415379,39.75238398,39.50684987,39.42241877
SLN_vol,1W,0.3,20.44085346,20.76022445,21.36010946,23.98453551,27.75525848,30.028652,33.7490593,35.50547558,37.44716973,37.97376555,38.07155163,38.146851,37.91694099,37.82983271
SLN_vol,1W,0.4,19.10960928,19.45607172,20.07409158,22.66280872,26.39809541,28.63954408,32.25515715,33.9624696,35.85165259,36.39743578,36.51551133,36.59773822,36.38298208,36.29324192
SLN_vol,1W,0.5,17.81376348,18.18753752,18.82422942,21.38002871,25.08333754,27.2949426,30.8099814,32.46994725,34.30851516,34.87319961,35.01114414,35.10018116,34.90015995,34.80782593
SLN_vol,1W,0.6,16.54903203,16.95045975,17.60649222,20.13224228,23.80715014,25.99098909,29.40940668,31.0236228,32.81330164,33.39664879,33.55410303,33.64985578,33.46419826,33.36930239
SLN_vol,1W,0.7,15.31143349,15.74095327,16.41712904,18.9158336,22.56610522,24.72425656,28.04977429,29.61968242,31.36203443,31.96384412,32.14050501,32.24290119,32.07128121,31.9738509
SLN_vol,1W,0.8,14.09727661,14.55536388,15.25261203,17.72747415,21.35714053,23.49170733,26.72784338,28.25472917,29.95115307,30.57125295,30.76686895,30.87585772,30.71799251,30.6180522
SLN_vol,1W,0.9,12.90322767,13.39025918,14.10959958,16.56409118,20.17753827,22.29066937,25.44075976,26.92574405,28.57746789,29.21569999,29.43006647,29.54561804,29.40126738,29.2988405
SLN_vol,1W,1,11.72655363,12.2424939,12.98493388,15.4228621,19.02492824,21.11883414,24.18604363,25.63006315,27.23812748,27.89433034,28.1272843,28.24938966,28.118356,28.01346756
SLN_vol,1W,1.1,10.56579367,11.1094461,11.87571007,14.30125253,17.89732532,19.97428254,22.96160017,24.36537317,25.93060067,26.60458423,26.8559978,26.98466842,26.86679794,26.75947801
SLN_vol,1W,1.2,9.422566915,9.989682033,10.77951218,13.19713744,16.79322071,18.85555113,21.7657606,23.1297299,24.65267519,25.3441844,25.61395589,25.74922319,25.64440807,25.53469666
SLN_vol,1W,1.3,8.306678481,8.884791363,9.695069504,12.10909489,15.71176367,17.76176103,20.59736727,21.92160836,23.40247809,24.11113859,24.39917924,24.54109359,24.4492755,24.33722958
SLN_vol,1W,1.4,7.251568099,7.804729556,8.624064923,11.03708323,14.6531045,16.69284929,19.45592637,20.73999992,22.17852648,22.90376179,23.20997536,23.35860383,23.27977909,23.1654828
SLN_vol,1W,1.5,6.360400955,6.784580611,7.576403631,9.984029158,13.61903626,15.64997473,18.34186886,19.58458288,20.97982406,21.72072658,22.04497691,22.20039886,22.13462545,22.01820546
SLN_vol,1W,1.6,5.879795237,5.936218263,6.586772421,8.959720589,12.61420888,14.63622759,17.25698939,18.45601165,19.80602994,20.56115615,20.90321428,21.06551291,21.01291981,20.89456858
SLN_vol,1W,1.7,6.005583388,5.524574651,5.765657828,7.990768618,11.64845127,13.65787407,16.20518259,17.35640351,18.6577459,19.42478449,19.78424105,19.95348758,19.91428668,19.79429842
SLN_vol,1W,1.8,6.532384362,5.718293024,5.373181891,7.145268701,10.74116789,12.72652007,15.19367297,16.29015706,17.53700238,18.31222659,18.68834405,18.86456841,18.83906905,18.71789625
SLN_vol,1W,1.9,7.205205681,6.272213419,5.56989084,6.572273771,9.928974555,11.86269884,14.23502751,15.26532406,16.44808346,17.22543262,17.61689206,17.8000289,17.78865385,17.66699748
SLN_vol,1W,2,7.912980551,6.945560247,6.11389912,6.449144285,9.274945668,11.10093315,13.35023135,14.29585508,15.39892716,16.16845454,16.57291588,16.76270483,16.76600367,16.64495861
SLN_vol,1W,2.1,8.616580742,7.642817993,6.772549689,6.747054718,8.864316041,10.49343983,12.57251755,13.40499962,14.4034597,15.14874043,15.56207462,15.75787624,15.77652444,15.65781414
